127.0.0.1 - - [01/May/2018:15:32:40 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:42 +0800] "GET /HotelManagementSystem/home.html HTTP/1.1" 200 5581
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:43 +0800] "GET /HotelManagementSystem/css/style.css HTTP/1.1" 200 47262
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:43 +0800] "GET /HotelManagementSystem/css/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:43 +0800] "GET /HotelManagementSystem/js/wow.min.js HTTP/1.1" 200 4776
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:43 +0800] "GET /HotelManagementSystem/css/font-awesome.css HTTP/1.1" 200 22181
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:43 +0800] "GET /HotelManagementSystem/css/animate.css HTTP/1.1" 200 72259
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:43 +0800] "GET /HotelManagementSystem/images/logo.jpg HTTP/1.1" 200 25352
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:43 +0800] "GET /HotelManagementSystem/images/8.jpg HTTP/1.1" 200 255496
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:43 +0800] "GET /HotelManagementSystem/images/3.jpg HTTP/1.1" 200 205440
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:43 +0800] "GET /HotelManagementSystem/images/7.jpg HTTP/1.1" 200 198474
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:43 +0800] "GET /HotelManagementSystem/images/5.jpg HTTP/1.1" 200 116502
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:43 +0800] "GET /HotelManagementSystem/images/4.jpg HTTP/1.1" 200 63486
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:43 +0800] "GET /HotelManagementSystem/images/2.jpg HTTP/1.1" 200 514533
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:44 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:48 +0800] "GET /HotelManagementSystem/login.jsp HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1 - - [01/May/2018:15:32:58 +0800] "POST /HotelManagementSystem/LoginServlet HTTP/1.1" 200 3136
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:06 +0800] "POST /HotelManagementSystem/LoginServlet HTTP/1.1" 200 3136
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:15 +0800] "POST /HotelManagementSystem/LoginServlet HTTP/1.1" 200 3136
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:42 +0800] "POST /HotelManagementSystem/LoginServlet HTTP/1.1" 200 4139
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:42 +0800] "GET /HotelManagementSystem/plugins/layui/css/layui.css HTTP/1.1" 200 50934
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:42 +0800] "GET /HotelManagementSystem/build/css/app.css HTTP/1.1" 200 5046
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:42 +0800] "GET /HotelManagementSystem/plugins/layui/layui.js HTTP/1.1" 200 5941
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:43 +0800] "GET /HotelManagementSystem/build/js/app.js HTTP/1.1" 200 8625
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/plugins/layui/lay/modules/element.js HTTP/1.1" 200 7012
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/plugins/layui/lay/modules/jquery.js HTTP/1.1" 200 97651
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/build/js/nprogress.js HTTP/1.1" 200 4246
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/build/css/nprogress.css HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/plugins/layui/lay/modules/form.js HTTP/1.1" 200 7330
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/plugins/layui/lay/modules/layer.js HTTP/1.1" 200 21835
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/plugins/layui/css/modules/layer/default/layer.css?v=3.0.3 HTTP/1.1" 200 14365
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/plugins/layui/lay/modules/table.js HTTP/1.1" 200 17537
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/plugins/layui/lay/modules/laytpl.js HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/plugins/layui/lay/modules/laypage.js HTTP/1.1" 200 4297
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/build/js/loader.js HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/build/js/tab.js HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/build/js/navbar.js HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/build/js/onelevel.js HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/build/js/message.js HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:44 +0800] "GET /HotelManagementSystem/build/css/message.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:50 +0800] "GET /HotelManagementSystem/personalinfo.html HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:50 +0800] "GET /HotelManagementSystem/plugins/layui/font/iconfont.woff?v=2 HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:50 +0800] "GET /HotelManagementSystem/plugins/layui/font/iconfont.ttf?v=2 HTTP/1.1" 200 32992
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:57 +0800] "GET /HotelManagementSystem/RoomTypeSetServlet HTTP/1.1" 200 5760
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:57 +0800] "GET /HotelManagementSystem/css/bootstrap.min.css HTTP/1.1" 200 127020
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:57 +0800] "GET /HotelManagementSystem/js/jquery-1.7.2.min.js HTTP/1.1" 200 175750
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:57 +0800] "GET /HotelManagementSystem/js/vue.js HTTP/1.1" 200 272834
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:57 +0800] "GET /HotelManagementSystem/js/bootstrap.js HTTP/1.1" 200 55259
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:57 +0800] "GET /HotelManagementSystem/RoomSetServlet HTTP/1.1" 200 26953
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:58 +0800] "GET /HotelManagementSystem/EmployeeServlet HTTP/1.1" 200 6149
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:58 +0800] "GET /HotelManagementSystem/css/jquery.searchableSelect.css HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:58 +0800] "GET /HotelManagementSystem/css/searchstyle.css HTTP/1.1" 200 6821
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:58 +0800] "GET /HotelManagementSystem/js/jquery.min.js HTTP/1.1" 200 96383
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:58 +0800] "GET /HotelManagementSystem/js/bootstrap.min.js HTTP/1.1" 200 31824
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:58 +0800] "GET /HotelManagementSystem/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:58 +0800] "GET /HotelManagementSystem/js/jquery.searchableSelect.js HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1 - - [01/May/2018:15:34:24 +0800] "GET /HotelManagementSystem/RoomStatusStatistics.jsp HTTP/1.1" 200 2555
